,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Year,Month
501,16/17,LaLiga,34,4/26/17,H,FC Barcelona,CA Osasuna,7:1,AM ,61,4:1,Left-footed shot,Ivan Rakitic,2017,April
502,16/17,LaLiga,36,5/6/17,H,FC Barcelona,Villarreal CF,4:1,RW,45,2:1,Left-footed shot,Sergio Busquets,2017,May
503,16/17,LaLiga,36,5/6/17,H,FC Barcelona,Villarreal CF,4:1,RW,82,4:1,Penalty,,2017,May
504,16/17,LaLiga,38,5/21/17,H,FC Barcelona,SD Eibar,4:2,RW,75,3:2,Penalty,,2017,May
505,16/17,LaLiga,38,5/21/17,H,FC Barcelona,SD Eibar,4:2,RW,90+2,4:2,Right-footed shot,,2017,May
506,16/17,Copa del Rey,Final,5/27/17,H,FC Barcelona,Deportivo Alaves,3:1,RW,30,1:0,Left-footed shot,Neymar,2017,May
507,17/18,Supercopa,Final,8/13/17,H,FC Barcelona,Real Madrid,1:3,RW,77,1:1,Penalty,,2017,August
508,17/18,LaLiga,2,8/26/17,A,FC Barcelona,Deportivo Alaves,0:2,CF,55,0:1,Left-footed shot,Jordi Alba,2017,August
509,17/18,LaLiga,2,8/26/17,A,FC Barcelona,Deportivo Alaves,0:2,CF,66,0:2,Left-footed shot,Paco Alcacer,2017,August
510,17/18,LaLiga,3,9/9/17,H,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,26,1:0,Left-footed shot,Ivan Rakitic,2017,September
511,17/18,LaLiga,3,9/9/17,H,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,35,2:0,Right-footed shot,Jordi Alba,2017,September
512,17/18,LaLiga,3,9/9/17,H,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,67,3:0,Left-footed shot,Jordi Alba,2017,September
513,17/18,UEFA Champions League,Group Stage,9/12/17,H,FC Barcelona,Juventus FC,3:0,CF,45,1:0,Left-footed shot,Luis Suarez,2017,September
514,17/18,UEFA Champions League,Group Stage,9/12/17,H,FC Barcelona,Juventus FC,3:0,CF,69,3:0,Left-footed shot,,2017,September
515,17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:1,CF,21,1:0,Penalty,,2017,September
516,17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:1,CF,59,4:1,Left-footed shot,Sergio Busquets,2017,September
517,17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:1,CF,62,5:1,Left-footed shot,Paulinho,2017,September
518,17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:1,CF,87,6:1,Left-footed shot,Aleix Vidal,2017,September
519,17/18,LaLiga,7,10/1/17,H,FC Barcelona,UD Las Palmas,3:0,SS,70,2:0,Left-footed shot,Denis Suarez,2017,October
520,17/18,LaLiga,7,10/1/17,H,FC Barcelona,UD Las Palmas,3:0,SS,77,3:0,Left-footed shot,Luis Suarez,2017,October
521,17/18,UEFA Champions League,Group Stage,10/18/17,H,FC Barcelona,Olympiacos Piraeus,3:1,CF,61,2:0,Direct free kick,,2017,October
522,17/18,LaLiga,10,10/28/17,A,FC Barcelona,Athletic Bilbao,0:2,SS ,37,0:1,Left-footed shot,Jordi Alba,2017,October
523,17/18,LaLiga,14,12/2/17,H,FC Barcelona,Celta de Vigo,2:2,SS,22,1:1,Left-footed shot,Paulinho,2017,December
524,17/18,LaLiga,15,12/10/17,A,FC Barcelona,Villarreal CF,0:2,RW ,83,0:2,Left-footed shot,Sergio Busquets,2017,December
525,17/18,LaLiga,17,12/23/17,A,FC Barcelona,Real Madrid,0:3,SS,64,0:2,Penalty,,2017,December
526,17/18,LaLiga,18,1/7/18,H,FC Barcelona,Levante UD,3:0,SS,12,1:0,Left-footed shot,Jordi Alba,2018,January
527,17/18,Copa del Rey,Last 16,1/11/18,H,FC Barcelona,Celta de Vigo,5:0,SS,13,1:0,Left-footed shot,Jordi Alba,2018,January
528,17/18,Copa del Rey,Last 16,1/11/18,H,FC Barcelona,Celta de Vigo,5:0,SS,15,2:0,Left-footed shot,Jordi Alba,2018,January
529,17/18,LaLiga,19,1/14/18,A,FC Barcelona,Real Sociedad,2:4,SS ,85,2:4,Direct free kick,,2018,January
530,17/18,LaLiga,20,1/21/18,A,FC Barcelona,Real Betis Balompie,0:5,SS ,64,0:2,Left-footed shot,Sergio Busquets,2018,January
531,17/18,LaLiga,20,1/21/18,A,FC Barcelona,Real Betis Balompie,0:5,SS ,80,0:4,Left-footed shot,Luis Suarez,2018,January
532,17/18,Copa del Rey,Quarter-Finals,1/25/18,H,FC Barcelona,RCD Espanyol Barcelona,2:0,SS,25,2:0,Deflected shot on goal,,2018,January
533,17/18,LaLiga,21,1/28/18,H,FC Barcelona,Deportivo Alaves,2:1,SS,84,2:1,Direct free kick,,2018,January
534,17/18,UEFA Champions League,Last 16,2/20/18,A,FC Barcelona,Chelsea FC,1:1,SS,75,1:1,Left-footed shot,Andres Iniesta,2018,February
535,17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:1,SS ,30,2:1,Left-footed shot,Luis Suarez,2018,February
536,17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:1,SS ,36,3:1,Direct free kick,,2018,February
537,17/18,LaLiga,26,3/1/18,A,FC Barcelona,UD Las Palmas,1:1,SS,21,0:1,Direct free kick,,2018,March
538,17/18,LaLiga,27,3/4/18,H,FC Barcelona,Atletico de Madrid,1:0,SS,26,1:0,Direct free kick,,2018,March
539,17/18,UEFA Champions League,Last 16,3/14/18,H,FC Barcelona,Chelsea FC,3:0,SS,3,1:0,Right-footed shot,Luis Suarez,2018,March
540,17/18,UEFA Champions League,Last 16,3/14/18,H,FC Barcelona,Chelsea FC,3:0,SS,63,3:0,Left-footed shot,Luis Suarez,2018,March
541,17/18,LaLiga,29,3/18/18,H,FC Barcelona,Athletic Bilbao,2:0,SS ,30,2:0,Left-footed shot,Ousmane Dembele,2018,March
542,17/18,LaLiga,30,3/31/18,A,FC Barcelona,Sevilla FC,2:2,RW,89,2:2,Left-footed shot,Philippe Coutinho,2018,March
543,17/18,LaLiga,31,4/7/18,H,FC Barcelona,CD Leganes,3:1,SS ,27,1:0,Direct free kick,,2018,April
544,17/18,LaLiga,31,4/7/18,H,FC Barcelona,CD Leganes,3:1,SS ,32,2:0,Left-footed shot,Philippe Coutinho,2018,April
545,17/18,LaLiga,31,4/7/18,H,FC Barcelona,CD Leganes,3:1,SS ,87,3:1,Left-footed shot,Ousmane Dembele,2018,April
546,17/18,Copa del Rey,Final,4/21/18,A,FC Barcelona,Sevilla FC,0:5,SS,31,0:2,Left-footed shot,Jordi Alba,2018,April
547,17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:4,CF ,38,0:2,Left-footed shot,Luis Suarez,2018,April
548,17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:4,CF ,82,2:3,Right-footed shot,Luis Suarez,2018,April
549,17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:4,CF ,85,2:4,Left-footed shot,Luis Suarez,2018,April
550,17/18,LaLiga,36,5/6/18,H,FC Barcelona,Real Madrid,2:2,SS,52,2:1,Left-footed shot,Luis Suarez,2018,May
551,17/18,LaLiga,34,5/9/18,H,FC Barcelona,Villarreal CF,5:1,CF,45,3:0,Left-footed shot,Andres Iniesta,2018,May
552,18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,3:0,RW ,64,1:0,Direct free kick,,2018,August
553,18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,3:0,RW ,90+2,3:0,Left-footed shot,Luis Suarez,2018,August
554,18/19,LaLiga,3,9/2/18,H,FC Barcelona,SD Huesca,8:2,RW ,16,1:1,Right-footed shot,Ivan Rakitic,2018,September
555,18/19,LaLiga,3,9/2/18,H,FC Barcelona,SD Huesca,8:2,RW ,61,6:2,Left-footed shot,Philippe Coutinho,2018,September
556,18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:0,RW ,31,1:0,Direct free kick,,2018,September
557,18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:0,RW ,77,3:0,Left-footed shot,Ivan Rakitic,2018,September
558,18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:0,RW ,87,4:0,Right-footed shot,Luis Suarez,2018,September
559,18/19,LaLiga,5,9/23/18,H,FC Barcelona,Girona FC,2:2,RW ,19,1:0,Left-footed shot,Arturo Vidal,2018,September
560,18/19,UEFA Champions League,Group Stage,10/3/18,A,FC Barcelona,Tottenham Hotspur,2:4,RW ,56,1:3,Left-footed shot,Jordi Alba,2018,October
561,18/19,UEFA Champions League,Group Stage,10/3/18,A,FC Barcelona,Tottenham Hotspur,2:4,RW ,90,2:4,Left-footed shot,Jordi Alba,2018,October
562,18/19,LaLiga,8,10/7/18,A,FC Barcelona,Valencia CF,1:1,RW ,23,1:1,Left-footed shot,Luis Suarez,2018,October
563,18/19,LaLiga,9,10/20/18,H,FC Barcelona,Sevilla FC,4:2,RW ,12,2:0,Left-footed shot,Luis Suarez,2018,October
564,18/19,LaLiga,12,11/11/18,H,FC Barcelona,Real Betis Balompie,3:4,SS ,68,1:2,Penalty,,2018,November
565,18/19,LaLiga,12,11/11/18,H,FC Barcelona,Real Betis Balompie,3:4,SS ,90+4,3:4,Left-footed shot,Arturo Vidal,2018,November
566,18/19,UEFA Champions League,Group Stage,11/28/18,A,FC Barcelona,PSV Eindhoven,1:2,CF ,61,0:1,Left-footed shot,Ousmane Dembele,2018,November
567,18/19,LaLiga,15,12/8/18,A,FC Barcelona,RCD Espanyol Barcelona,0:4,RW ,17,0:1,Direct free kick,,2018,December
568,18/19,LaLiga,15,12/8/18,A,FC Barcelona,RCD Espanyol Barcelona,0:4,RW ,65,0:4,Direct free kick,,2018,December
569,18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:5,SS ,43,0:2,Right-footed shot,Sergio Busquets,2018,December
570,18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:5,SS ,47,0:3,Left-footed shot,,2018,December
571,18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:5,SS ,60,0:4,Left-footed shot,Arturo Vidal,2018,December
572,18/19,LaLiga,17,12/22/18,H,FC Barcelona,Celta de Vigo,2:0,RW ,45,2:0,Left-footed shot,Jordi Alba,2018,December
573,18/19,LaLiga,18,1/6/19,A,FC Barcelona,Getafe CF,1:2,RW ,20,0:1,Left-footed shot,,2019,January
574,18/19,LaLiga,19,1/13/19,H,FC Barcelona,SD Eibar,3:0,RW ,53,2:0,Left-footed shot,Luis Suarez,2019,January
575,18/19,Copa del Rey,Last 16,1/17/19,H,FC Barcelona,Levante UD,3:0,CF ,54,3:0,Left-footed shot,Nelson Semedo,2019,January
576,18/19,LaLiga,20,1/20/19,H,FC Barcelona,CD Leganes,3:1,SS,90+2,3:1,Right-footed shot,Jordi Alba,2019,January
577,18/19,LaLiga,21,1/27/19,A,FC Barcelona,Girona FC,0:2,RW ,69,0:2,Left-footed shot,Jordi Alba,2019,January
578,18/19,Copa del Rey,Quarter-Finals,1/30/19,H,FC Barcelona,Sevilla FC,6:1,RW ,90+2,6:1,Left-footed shot,Jordi Alba,2019,January
579,18/19,LaLiga,22,2/2/19,H,FC Barcelona,Valencia CF,2:2,RW ,39,1:2,Penalty,,2019,February
580,18/19,LaLiga,22,2/2/19,H,FC Barcelona,Valencia CF,2:2,RW ,64,2:2,Left-footed shot,Arturo Vidal,2019,February
581,18/19,LaLiga,24,2/16/19,H,FC Barcelona,Real Valladolid CF,1:0,RW ,43,1:0,Penalty,,2019,February
582,18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:4,RW ,26,1:1,Left-footed shot,Ivan Rakitic,2019,February
583,18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:4,RW ,67,2:2,Right-footed shot,Ousmane Dembele,2019,February
584,18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:4,RW ,85,2:3,Left-footed shot,,2019,February
585,18/19,LaLiga,27,3/9/19,H,FC Barcelona,Rayo Vallecano,3:1,RW ,51,2:1,Penalty,,2019,March
586,18/19,UEFA Champions League,Last 16,3/13/19,H,FC Barcelona,Olympique Lyon,5:1,RW ,18,1:0,Penalty,,2019,March
587,18/19,UEFA Champions League,Last 16,3/13/19,H,FC Barcelona,Olympique Lyon,5:1,RW ,78,3:1,Right-footed shot,Sergio Busquets,2019,March
588,18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:4,SS ,18,0:1,Direct free kick,,2019,March
589,18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:4,SS ,45+2,0:2,Left-footed shot,Luis Suarez,2019,March
590,18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:4,SS ,85,1:4,Left-footed shot,Ivan Rakitic,2019,March
591,18/19,LaLiga,29,3/30/19,H,FC Barcelona,RCD Espanyol Barcelona,2:0,RW ,71,1:0,Direct free kick,,2019,March
592,18/19,LaLiga,29,3/30/19,H,FC Barcelona,RCD Espanyol Barcelona,2:0,RW ,89,2:0,Left-footed shot,Malcom,2019,March
593,18/19,LaLiga,30,4/2/19,A,FC Barcelona,Villarreal CF,4:4,RW,90,4:3,Direct free kick,,2019,April
594,18/19,LaLiga,31,4/6/19,H,FC Barcelona,Atletico de Madrid,2:0,SS ,87,2:0,Left-footed shot,,2019,April
595,18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,3:0,RW ,16,1:0,Left-footed shot,,2019,April
596,18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,3:0,RW ,20,2:0,Right-footed shot,,2019,April
597,18/19,LaLiga,35,4/27/19,H,FC Barcelona,Levante UD,1:0,RW,62,1:0,Left-footed shot,Arturo Vidal,2019,April
598,18/19,UEFA Champions League,Semi-Finals,5/1/19,H,FC Barcelona,Liverpool FC,3:0,RW ,75,2:0,Left-footed shot,Luis Suarez,2019,May
599,18/19,UEFA Champions League,Semi-Finals,5/1/19,H,FC Barcelona,Liverpool FC,3:0,RW ,82,3:0,Direct free kick,,2019,May
600,18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,2:2,CF ,31,1:1,Left-footed shot,Arturo Vidal,2019,May
601,18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,2:2,CF ,32,1:2,Left-footed shot,Ivan Rakitic,2019,May
602,18/19,Copa del Rey,Final,5/25/19,H,FC Barcelona,Valencia CF,1:2,CF ,73,1:2,Left-footed shot,Clement Lenglet,2019,May
603,19/20,LaLiga,8,10/6/19,H,FC Barcelona,Sevilla FC,4:0,RW ,78,4:0,Direct free kick,,2019,October
604,19/20,LaLiga,9,10/19/19,A,FC Barcelona,SD Eibar,0:3,RW ,58,0:2,Left-footed shot,Antoine Griezmann,2019,October
605,19/20,UEFA Champions League,Group Stage,10/23/19,A,FC Barcelona,SK Slavia Prague,1:2,RW ,3,0:1,Left-footed shot,Arthur,2019,October
606,19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,5:1,RW ,34,3:1,Direct free kick,,2019,October
607,19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,5:1,RW ,75,4:1,Left-footed shot,Ivan Rakitic,2019,October
608,19/20,LaLiga,12,11/2/19,A,FC Barcelona,Levante UD,3:1,RW ,38,0:1,Penalty,,2019,November
609,19/20,LaLiga,13,11/9/19,H,FC Barcelona,Celta de Vigo,4:1,RW ,23,1:0,Penalty,,2019,November
610,19/20,LaLiga,13,11/9/19,H,FC Barcelona,Celta de Vigo,4:1,RW ,45+1,2:1,Direct free kick,,2019,November
611,19/20,LaLiga,13,11/9/19,H,FC Barcelona,Celta de Vigo,4:1,RW ,48,3:1,Direct free kick,,2019,November
612,19/20,UEFA Champions League,Group Stage,11/27/19,H,FC Barcelona,Borussia Dortmund,3:1,RW ,33,2:0,Left-footed shot,Luis Suarez,2019,November
613,19/20,LaLiga,15,12/1/19,A,FC Barcelona,Atletico de Madrid,0:1,RW ,86,0:1,Left-footed shot,Luis Suarez,2019,December
614,19/20,LaLiga,16,12/7/19,H,FC Barcelona,RCD Mallorca,5:2,RW ,17,2:0,Left-footed shot,Antoine Griezmann,2019,December
615,19/20,LaLiga,16,12/7/19,H,FC Barcelona,RCD Mallorca,5:2,RW ,41,3:1,Left-footed shot,Ivan Rakitic,2019,December
616,19/20,LaLiga,16,12/7/19,H,FC Barcelona,RCD Mallorca,5:2,RW ,83,5:2,Left-footed shot,Luis Suarez,2019,December
617,19/20,LaLiga,18,12/21/19,H,FC Barcelona,Deportivo Alaves,4:1,RW ,69,3:1,Left-footed shot,Luis Suarez,2019,December
618,19/20,Supercopa,Semi-Finals,1/9/20,H,FC Barcelona,Atletico de Madrid,2:3,RW ,51,1:1,Right-footed shot,Luis Suarez,2020,January
619,19/20,LaLiga,20,1/19/20,H,FC Barcelona,Granada CF,1:0,CF ,76,1:0,Right-footed shot,Arturo Vidal,2020,January
620,19/20,Copa del Rey,Last 16,1/30/20,H,FC Barcelona,CD Leganes,5:0,RW ,59,3:0,Left-footed shot,Frenkie de Jong,2020,January
621,19/20,Copa del Rey,Last 16,1/30/20,H,FC Barcelona,CD Leganes,5:0,RW ,89,5:0,Left-footed shot,Ivan Rakitic,2020,January
622,19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:0,SS ,14,1:0,Left-footed shot,Ivan Rakitic,2020,February
623,19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:0,SS ,37,2:0,Left-footed shot,Arturo Vidal,2020,February
624,19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:0,SS ,40,3:0,Left-footed shot,,2020,February
625,19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:0,SS ,87,4:0,Left-footed shot,,2020,February
626,19/20,LaLiga,27,3/7/20,H,FC Barcelona,Real Sociedad,1:0,CF ,81,1:0,Penalty,,2020,March
627,19/20,LaLiga,28,6/13/20,A,FC Barcelona,RCD Mallorca,0:4,RW ,90+3,0:4,Right-footed shot,Luis Suarez,2020,June
628,19/20,LaLiga,29,6/16/20,H,FC Barcelona,CD Leganes,2:0,RW ,69,2:0,Penalty,,2020,June
629,19/20,LaLiga,33,6/30/20,H,FC Barcelona,Atletico de Madrid,2:2,SS ,50,2:1,Penalty,,2020,June
630,19/20,LaLiga,37,7/16/20,H,FC Barcelona,CA Osasuna,1:2,RW ,62,1:1,Direct free kick,,2020,July
631,19/20,LaLiga,38,7/19/20,A,FC Barcelona,Deportivo Alaves,0:5,RW ,34,0:2,Left-footed shot,Riqui Puig,2020,July
632,19/20,LaLiga,38,7/19/20,A,FC Barcelona,Deportivo Alaves,0:5,RW ,75,0:5,Left-footed shot,Jordi Alba,2020,July
633,19/20,UEFA Champions League,Last 16,8/8/20,H,FC Barcelona,SSC Napoli,3:1,SS ,23,2:0,Left-footed shot,,2020,August
634,20/21,LaLiga,3,9/27/20,H,FC Barcelona,Villarreal CF,4:0,CF ,35,3:0,Penalty,,2020,September
635,20/21,UEFA Champions League,Group Stage,10/20/20,H,FC Barcelona,Ferencvarosi TC,5:1,CF ,27,1:0,Penalty,,2020,October
636,20/21,UEFA Champions League,Group Stage,10/28/20,A,FC Barcelona,Juventus FC,0:2,CF ,90+1,0:2,Penalty,,2020,October
637,20/21,UEFA Champions League,Group Stage,11/4/20,H,FC Barcelona,Dynamo Kyiv,2:1,RW ,5,1:0,Penalty,,2020,November
638,20/21,LaLiga,9,11/7/20,H,FC Barcelona,Real Betis Balompie,5:2,CF,61,3:1,Penalty,,2020,November
639,20/21,LaLiga,9,11/7/20,H,FC Barcelona,Real Betis Balompie,5:2,CF,82,4:2,Left-footed shot,Sergi Roberto,2020,November
640,20/21,LaLiga,11,11/29/20,H,FC Barcelona,CA Osasuna,4:0,RW ,73,4:0,Left-footed shot,Francisco Trinc̣o,2020,November
641,20/21,LaLiga,13,12/13/20,H,FC Barcelona,Levante UD,1:0,CF ,76,1:0,Left-footed shot,Frenkie de Jong,2020,December
642,20/21,LaLiga,14,12/19/20,H,FC Barcelona,Valencia CF,2:2,CF ,45+4,1:1,Header,,2020,December
643,20/21,LaLiga,15,12/22/20,A,FC Barcelona,Real Valladolid CF,0:3,AM ,65,0:3,Left-footed shot,Pedri,2020,December
644,20/21,LaLiga,2,1/6/21,A,FC Barcelona,Athletic Bilbao,2:3,CF ,38,1:2,Left-footed shot,Pedri,2021,January
645,20/21,LaLiga,2,1/6/21,A,FC Barcelona,Athletic Bilbao,2:3,CF ,62,1:3,Left-footed shot,Antoine Griezmann,2021,January
646,20/21,LaLiga,18,1/9/21,A,FC Barcelona,Granada CF,0:4,CF ,35,0:2,Left-footed shot,Antoine Griezmann,2021,January
647,20/21,LaLiga,18,1/9/21,A,FC Barcelona,Granada CF,0:4,CF ,42,0:3,Direct free kick,,2021,January
648,20/21,Copa del Rey,Last 16,1/27/21,A,FC Barcelona,Rayo Vallecano,1:2,CF ,69,1:1,Left-footed shot,Antoine Griezmann,2021,January
649,20/21,LaLiga,21,1/31/21,H,FC Barcelona,Athletic Bilbao,2:1,CF ,20,1:0,Direct free kick,,2021,January
650,20/21,LaLiga,22,2/7/21,A,FC Barcelona,Real Betis Balompie,2:3,CF,59,1:1,Left-footed shot,Ousmane Dembele,2021,February
651,20/21,LaLiga,23,2/13/21,H,FC Barcelona,Deportivo Alaves,5:1,CF ,45+1,2:0,Left-footed shot,Sergio Busquets,2021,February
652,20/21,LaLiga,23,2/13/21,H,FC Barcelona,Deportivo Alaves,5:1,CF ,75,4:1,Left-footed shot,Antoine Griezmann,2021,February
653,20/21,UEFA Champions League,Last 16,2/16/21,H,FC Barcelona,Paris Saint-Germain,1:4,CF ,27,1:0,Penalty,,2021,February
654,20/21,LaLiga,24,2/21/21,H,FC Barcelona,Cadiz CF,1:1,CF ,32,1:0,Penalty,,2021,February
655,20/21,LaLiga,1,2/24/21,H,FC Barcelona,Elche CF,3:0,CF ,48,1:0,Left-footed shot,Martin Braithwaite,2021,February
656,20/21,LaLiga,1,2/24/21,H,FC Barcelona,Elche CF,3:0,CF ,68,2:0,Left-footed shot,Frenkie de Jong,2021,February
657,20/21,LaLiga,25,2/27/21,A,FC Barcelona,Sevilla FC,0:2,CF ,85,0:2,Right-footed shot,Ilaix Moriba,2021,February
658,20/21,UEFA Champions League,Last 16,3/10/21,A,FC Barcelona,Paris Saint-Germain,1:1,SS ,37,1:1,Long distance kick,Pedri,2021,March
659,20/21,LaLiga,27,3/15/21,H,FC Barcelona,SD Huesca,4:1,SS ,13,1:0,Left-footed shot,Sergio Busquets,2021,March
660,20/21,LaLiga,27,3/15/21,H,FC Barcelona,SD Huesca,4:1,SS ,90,4:1,Left-footed shot,Francisco Trinc̣o,2021,March
661,20/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:6,SS ,56,0:4,Left-footed shot,Sergio Busquets,2021,March
662,20/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:6,SS ,89,1:6,Left-footed shot,Jordi Alba,2021,March
663,20/21,Copa del Rey,Final,4/17/21,A,FC Barcelona,Athletic Bilbao,0:4,CF ,68,0:3,Left-footed shot,Frenkie de Jong,2021,April
664,20/21,Copa del Rey,Final,4/17/21,A,FC Barcelona,Athletic Bilbao,0:4,CF ,72,0:4,Left-footed shot,Jordi Alba,2021,April
665,20/21,LaLiga,31,4/22/21,H,FC Barcelona,Getafe CF,5:2,CF ,8,1:0,Left-footed shot,Sergio Busquets,2021,April
666,20/21,LaLiga,31,4/22/21,H,FC Barcelona,Getafe CF,5:2,CF ,33,3:1,Left-footed shot,,2021,April
667,20/21,LaLiga,33,4/29/21,H,FC Barcelona,Granada CF,1:2,CF ,23,1:0,Left-footed shot,Antoine Griezmann,2021,April
668,20/21,LaLiga,34,5/2/21,A,FC Barcelona,Valencia CF,2:3,CF ,57,1:1,Left-footed shot,,2021,May
669,20/21,LaLiga,34,5/2/21,A,FC Barcelona,Valencia CF,2:3,CF ,69,1:3,Direct free kick,,2021,May
670,20/21,LaLiga,36,5/11/21,A,FC Barcelona,Levante UD,3:3,SS ,25,0:1,Left-footed shot,,2021,May
671,20/21,LaLiga,37,5/16/21,H,FC Barcelona,Celta de Vigo,1:2,SS ,28,1:0,Header,Sergio Busquets,2021,May
